target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0x3679aac6ffe31058bc24dace86853f166a74dfdd,3.91156287691966,186,122,103,70,44
0x8999020b433a0ac8efdbfe49ef03855aef262eba,3.911103818062093,187,328,267,133,98
0x71ec1590d293a92e6a8ca8ba5d3a1753434908c9,3.910926382530252,188,118,114,57,42
0x43716e58827d9f249fdde153a0a4827d0ce0a725,3.909914900176098,189,33,29,28,20
0x9441e690788b01b660e8d00eb09f007fe8c84b71,3.904952963983793,190,122,100,77,53
0xf1e96206a1ce0877f06325a845a778b8eadb3f86,3.904475925176183,191,54,51,29,13
0x99e73a69536f7365fd4f2f2e5391f5daa484b99b,3.900256282166565,192,45,41,35,28
0xe5d8c4a6cbbcdff5cd54753fb3ca253c3bfd3af3,3.893597951659664,193,61,60,53,46
0xc142995f05436c91bba172b7d17522a301323236,3.8929482917334224,194,74,67,32,18
0x5f68f28b9e313fce52b122d464431e94ecfdc887,3.889246289971441,195,357,274,208,200
0xfebded7df0b739564dcb218b4e673f0918528b8d,3.8874905774357433,196,282,270,199,187
0x0a24b03fa2cb9b51af900c68600b3f70211b3540,3.88567839658198,197,273,254,179,160
0xa99ca1caa0a27465fe8d9821db978e778da91fd0,3.8852708545584673,198,25,25,11,9
0x4fef654560d6ad788f4b35a5cd02ed185c12fbbf,3.8811343043032895,199,83,82,62,55
0xfc576e579aacc0e122f1ac84e3f7f64b2ea31383,3.879867002101145,200,55,48,35,25
0x720bf57f67b6b00b97cbd9d967a0af2427352435,3.877342842943336,201,133,111,85,61
0x23c65e858c31cc6331edca61b09d373b221d7194,3.875925257036786,202,252,240,172,145
0x3c4cf64127503e3b17ab4741a30352e712d71bd4,3.875892857405784,203,65,54,44,35
0xb24145bc5c77391484b57e05e47727c6aa58a2b6,3.871383388414496,204,88,77,51,35
0xb7bd84b71fbe6f2ade449508b2b78cae45a18dc0,3.864849823446343,205,28,25,21,15
0x8bcb4c9f2e1f555d960f02a3e864cb6711fb1c21,3.8635709124908657,206,111,104,66,50
0x4e9b812bf109cd768bca453778e406824e8ff5e6,3.859313956444218,207,199,186,99,85
0x1702f2d0df7c99011a690461c34e51bd81cbab48,3.85792742522975,208,76,73,28,23
0x4c9b1e04031d03f48132f27b1fa0a06aed94b8c5,3.8560794526917808,209,163,154,112,96
0xc14480bd7bb6d36377c75286b80452654f5b7a79,3.85481500421533,210,236,228,74,60
0x18df32b9ab07cb17fcdd668519041ca5058eb552,3.8522598902684977,211,0,0,0,0
0xb69e9610747520016bde2a89e3407c5992759748,3.85225261382395,212,119,90,60,45
0x66d5527411d821cb513f2d214bbbc0ad73586b35,3.847753642970388,213,91,88,57,47
0x387fc36b9f989c6a4bb32eae7988f63ff7f369a0,3.847016587224103,214,202,188,87,73
0x8820e3d0f8bf71fa7e733a901140537d30c3ab8f,3.846015396170269,215,208,146,134,121
0x0cc5428702c220cc4a68dfb6c83c6930f7270e4a,3.83943436527539,216,57,53,35,27
0x6eb534ed1329e991842b55be375abc63fe7c0e2b,3.8392278478283473,217,49,48,28,23
0xbeffddcf2e84106f77c2b60445dc257d65e19a26,3.8376681424164496,218,204,183,138,118
0x940e94e2c3ab07b0854b605211291a95d960c244,3.835444021057184,219,238,210,120,96
0x29d3c95d4d8a42ad598112a1c6f909e010ad37dc,3.835060305196428,220,67,61,42,33
0xb50260f2076d744a6a87d4ba0102fa8770c08e34,3.830001602717968,221,111,103,52,41
0x9917dbde143944aeaa5afb07edc1b8a1be0f5e2d,3.824496250184157,222,88,86,70,62
0x9939629aed5c318e9e92e1a073d56ad0dcd481f2,3.814725314238822,223,247,221,154,127
0x941e7ee2a55c7ce86af6574c5736c8e53da36e7c,3.810125340266838,224,124,117,62,46
0x8aa75cdeaf76980fbff0f2a838cb5a77a847ecb2,3.794506784642112,225,196,187,112,96
0xceddee1567c9d727930866310f7ed586bf321f86,3.7860888190874142,226,194,175,113,101
0x76514746efd54ab8d1b70970b1df74924bfd1f39,3.784505034991202,227,97,86,64,46
0x2a693ccbda744faf14ecb7c28bd811927bea61a7,3.7835497204652944,228,167,121,87,72
0xfd4848acdc68b55c9352c59722eac9292668f7cf,3.782449099184746,229,35,33,13,6
0xdc04a684e7b204969920f5af76df6c4419e928e5,3.782412743375706,230,83,73,41,30
0x620b70123fb810f6c653da7644b5dd0b6312e4d8,3.782406384672834,231,228,137,91,70
0x8f3a84ff458698de843064ff2c318975abccc303,3.7755784526707368,232,58,46,30,12
0x4936b305102f442080d4711f14c5f0318e3caf74,3.775191493546554,233,83,78,57,46
0xbf5aa87878c968c9d062f51cabd04b66023c8e36,3.770546350615175,234,68,60,36,22
0xc7b42f99c63126b22858f4eed636f805cfe82c91,3.7694969551738495,235,175,149,91,54
0x109440cbe5b508a7063ca126c88b0f81d3829575,3.767920555556072,236,103,102,70,67
0xc0afeadc6f1562e90d1693efdcda97f8bbc8fc36,3.763472828319624,237,107,91,71,57
0x9f432a2964351a7830bd9ea10f65107677d73e04,3.7533620686192974,238,281,266,146,124
0x6866b9b6ee721f37b161501c56f457de38796d0c,3.750896463915119,239,54,51,37,28
0xda2a6295a6223e15d2e1bb3f03539be74c376580,3.748695145979404,240,64,61,50,39
0x28db25bf1cd460d9f98ba6e71eed84d2ece9e1ba,3.7428658952275726,241,200,185,66,53
0xadb040f4f27ea941bccac56b763f577da2ed0311,3.741033240179896,242,96,81,67,61
0x10c45c8b122916cb0c4b01f3df54e34b46b0bc9b,3.739698194181043,243,49,48,44,36
0xaafb164259d27122530aef535dcd059f5b3dc844,3.737767113570172,244,152,143,103,82
0xf63b8996c168af4e07e73f2a1d2f6dfc23a9aa2a,3.7270043933176544,245,125,113,90,71
0x10662025145b7eac2e41c4033828ee044d0ccf91,3.7260430071369792,246,137,131,60,48
0x94aa50fe3c1ad32b0419004eee4f278ca3908876,3.7200063778277546,247,127,121,57,39
0x984b18b1823fef04a4ca7cf1e8a0ef5359fa522f,3.709871746348975,248,99,87,63,51
0xdb7b7f99fc5ec6f95a84415f1b2403ecda0acc50,3.706992275302993,249,172,167,99,91
0x1cccfdbad92675f7212cb264e4fdcbd8699a81de,3.7051758211777175,250,88,84,41,34
0xdc2462fb375bde1454017293eace4df1a58f57e0,3.702415765319609,251,62,52,35,24
0xc9d42afc4f867c4c3f28e78ae50e65001998f5e9,3.6993638880327575,252,273,224,108,92
0x976baa9f3b7b332efbb4fa87666b22065ded62e0,3.698605990799859,253,88,81,74,63
0xf8b77a23868d21b4130071bcd8dcadb07cde25aa,3.696732452925561,254,42,35,19,12
0xf585fa336f58518c729e4ea0441293af0f169194,3.695961957352047,255,91,83,44,37
0x48a5e9562e6f2e6e2908ed96e735af254e2bca84,3.69460156485106,256,28,24,17,10
0x4cbc27eb49022dc70694fc3f6297befb9d96ae18,3.691231999180761,257,113,105,67,54
0xf9d4d24423eb947abbd5b9181d34a9fc97c8868d,3.6881843847374665,258,42,39,30,26
0xa12eeeaad1d13f0938febd6a1b0e8b10ab31dbd6,3.687469753190189,259,320,307,100,78
0xf9f65575983c3207363034d62f9b71718704a02a,3.687339664417327,260,91,84,44,34
0xb334fbf9e27dc7ee68279be78b1477c7f42451dc,3.682601149519074,261,173,147,123,99
0xb46ecbac66746b00a926d433eb59fffddc315580,3.680663239895768,262,100,92,50,42
0x4c8f62f1498fa55d4158cdbfea7783f84556a68e,3.679318009020859,263,69,65,39,23
0x92a7bd65c8b2a9c9d98be8eaa92de46d1fbdefaf,3.679011587392129,264,127,118,93,80
0xb5566b4cb6d7dc8849ff5a724f8c53be28f1a391,3.676985448435748,265,21,21,8,4
0xf8c855e911575f030f35f719b7e2b53796439fc3,3.674641059181729,266,127,117,69,50
0x36bd061de34d98e2fdfc471ce4a5091f09ef0f9a,3.672409221563981,267,85,73,46,31
0xf0806f16925dce7b0ce88ab04cec69520e0e1e79,3.671083419917656,268,81,77,51,41
0xf596390369b6bbcf484d3c52faa52df016d02702,3.669578521811842,269,45,43,38,30
0x1d14d9e297dfbce003f5a8ebcf8cba7faee70b91,3.669333430172232,270,95,91,59,39
0xa41a4b84d74e085bd463386d55c3b6dde6aa2759,3.6691931172867234,271,130,126,54,38
0x8423753fe03a4f0acf792e00426bf6f758ae645d,3.6683211038694328,272,43,40,26,19
0x85737b7667aa0b3df09d5120f6c5bfd3c3f8291d,3.666827056517704,273,63,60,44,34
0x6d0998e0513a739d1af438e35fe33b4dad258920,3.6665553999167417,274,54,51,24,12
0xcb389394fd648f2e39b463d2a3d949049bdd2a88,3.6659730836029527,275,21,20,11,8
0x341d13b93a9e6ec3b9b2b5c3ee7747d6ec95cf69,3.665037260315448,276,77,76,58,55
0xb7628368af247d151de01f014784d2c499d234de,3.6609543979185686,277,14,13,9,5
0xde8b9f7e37077937e1996d9c858016a826b866c2,3.6599637823227935,278,63,61,30,27
0x3b502b054715a8e0d8f657169615a88b2ccdd429,3.6597672829744536,279,143,122,78,67
0x3b5f949c07d0e31b904b53cd4d24f94687e15c2d,3.65768529261968,280,78,66,40,24
0x36de990133d36d7e3df9a820aa3ede5a2320de71,3.6565288102344686,281,86,77,67,44
0xd1fc6c2c64268a854a766196cdab99bc04bf4e44,3.650405625144818,282,33,32,15,8
0x1f687ff00fa6b0ce7825e9f90ee4f05b5b8ecee6,3.6495639141373486,283,111,89,70,54
0xf22b3e9fdfac016fa197c2326c84657ba4f78f78,3.64944316610748,284,35,28,23,13
0x34800d4ba1543891982e38ae705fb039feb66b54,3.6491534233559606,285,28,27,22,18
0x828b3dccbc9f868dd52dee247cacfdf66d849bbb,3.645437821690234,286,115,106,76,50
0x3911a77ecfa336f209a5419c0f1a4c4f7ff28002,3.641764091247469,287,73,69,51,34
0x05db278671e777849bd29d59b956be0ba89d9073,3.6381950655117,288,62,56,38,28
0x7f37cb4e1ff71193175b11c16faa7d97aa851876,3.638144897819679,289,84,77,50,34
