m1,m2,K,overlap,overlap_frac,jaccard,random_expected_overlap,random_expected_jaccard
A_vol,B_act,25,14,0.56,0.3888888888888889,0.03374912252281441,0.0006754383594953125
A_vol,B_act,50,27,0.54,0.3698630136986301,0.13499649009125764,0.0013517897696550232
A_vol,B_act,100,63,0.63,0.45985401459854014,0.5399859603650305,0.0027072391575071746
A_vol,B_act,250,163,0.652,0.4836795252225519,3.3749122522814408,0.006795694248124389
A_vol,B_act,500,342,0.684,0.5197568389057751,13.499649009125763,0.01368438338168482
A_vol,B_act,1000,682,0.682,0.5174506828528073,53.99859603650305,0.027748487707419948
A_vol,B_new,10,5,0.5,0.3333333333333333,0.005399859603650305,0.0002700658960786432
A_vol,B_new,25,12,0.48,0.3157894736842105,0.03374912252281441,0.0006754383594953125
A_vol,B_new,50,28,0.56,0.3888888888888889,0.13499649009125764,0.0013517897696550232
A_vol,B_new,100,56,0.56,0.3888888888888889,0.5399859603650305,0.0027072391575071746
A_vol,B_new,250,156,0.624,0.45348837209302323,3.3749122522814408,0.006795694248124389
A_vol,B_new,500,311,0.622,0.4513788098693759,13.499649009125763,0.01368438338168482
A_vol,B_new,1000,647,0.647,0.4781966001478197,53.99859603650305,0.027748487707419948
A_vol,C_struct,10,3,0.3,0.17647058823529413,0.005399859603650306,0.0002700658960786432
A_vol,C_struct,25,10,0.4,0.25,0.0337491225228144,0.0006754383594953123
A_vol,C_struct,50,22,0.44,0.28205128205128205,0.1349964900912576,0.001351789769655023
A_vol,C_struct,100,37,0.37,0.22699386503067484,0.5399859603650304,0.002707239157507174
A_vol,C_struct,250,112,0.448,0.28865979381443296,3.3749122522814408,0.006795694248124389
A_vol,C_struct,500,262,0.524,0.35501355013550134,13.499649009125763,0.01368438338168482
A_vol,C_struct,1000,539,0.539,0.36892539356605064,53.99859603650305,0.027748487707419948
A_vol,C_novol,10,5,0.5,0.3333333333333333,0.005399859603650306,0.0002700658960786432
A_vol,C_novol,25,13,0.52,0.35135135135135137,0.0337491225228144,0.0006754383594953123
A_vol,C_novol,50,25,0.5,0.3333333333333333,0.1349964900912576,0.001351789769655023
A_vol,C_novol,100,44,0.44,0.28205128205128205,0.5399859603650304,0.002707239157507174
A_vol,C_novol,250,134,0.536,0.366120218579235,3.3749122522814408,0.006795694248124389
A_vol,C_novol,500,275,0.55,0.3793103448275862,13.499649009125763,0.01368438338168482
A_vol,C_novol,1000,560,0.56,0.3888888888888889,53.99859603650305,0.027748487707419948
A_vol,D_ig_cp,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
A_vol,D_ig_cp,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
A_vol,D_ig_cp,50,0,0.0,0.0,0.13499649009125764,0.0013517897696550232
A_vol,D_ig_cp,100,3,0.03,0.015228426395939087,0.5399859603650305,0.0027072391575071746
A_vol,D_ig_cp,250,17,0.068,0.035196687370600416,3.3749122522814408,0.006795694248124389
A_vol,D_ig_cp,500,45,0.09,0.04712041884816754,13.499649009125763,0.01368438338168482
A_vol,D_ig_cp,1000,153,0.153,0.0828370330265295,53.99859603650305,0.027748487707419948
A_vol,D_ig_act,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
A_vol,D_ig_act,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
A_vol,D_ig_act,50,0,0.0,0.0,0.13499649009125764,0.0013517897696550232
A_vol,D_ig_act,100,0,0.0,0.0,0.5399859603650305,0.0027072391575071746
A_vol,D_ig_act,250,0,0.0,0.0,3.3749122522814408,0.006795694248124389
A_vol,D_ig_act,500,1,0.002,0.001001001001001001,13.499649009125763,0.01368438338168482
A_vol,D_ig_act,1000,68,0.068,0.035196687370600416,53.99859603650305,0.027748487707419948
A_beh,B_act,10,1,0.1,0.05263157894736842,0.005399859603650305,0.0002700658960786432
