target_address,bridges_events,icf_score_p1,icf_raw_signal,p1_rank
0x09e1c1e0387a505b4fc6c5d41171736c4b2ce4d2,90,77.1429,1.5,276
0x0725cf86d60e18993f6c4221c3a449968118f2ba,443,77.121,4.4747,277
0xec641c2181b6a3b9f202645eb56adc652f4563bd,210,77.0694,1.4189,278
0xff634f9ed1005198f3ae614328d2274c97e97b56,679,76.9763,2.8058,279
0x6981a6dc28f2bd28a9d852832c0f1876a9470cb8,230,76.7365,1.6429,280
0x9dd85cc62c3567bdb775403efd3641a08eeb84bd,365,76.5244,4.1011,281
0x7ad79b83575becb692bddf23909b74f1f52503de,140,76.4932,1.2963,282
0x484749b9d349b3053dfe23bad67137821d128433,193,76.2951,2.2976,283
0x74e7bdf51a338adb142627d16fa9473e9a81870a,337,75.9852,2.8803,284
0x16c93ec97512832ba4244cc69527530d358db0e5,659,75.5663,1.2181,285
0xbb1b61089321ad51369c8327fe23d04ada2ed746,180,75.5442,2.4324,286
0x93a27b213b82844492e50c409850b46328d41e47,193,75.375,4.1064,287
0x2a878245b52a2d46cb4327541cbc96e403a84791,480,75.1168,1.1137,288
0x0273b8b2ae8216ae2ee7a85a2688a99cd20eb9fd,161,75.0358,26.8333,289
0x4733b3339fb1b7505ca1bc2e34e44aa30169982b,302,75.0081,4.5075,290
0x69fde561275b85dbcd5081d1121bcae64fb83858,201,74.9492,2.3929,291
0x4936b305102f442080d4711f14c5f0318e3caf74,352,74.9018,1.4979,292
0xb585b60de71e48032e8c19b90896984afc6a660d,1219,74.707,1.0,293
0x80f88bac8134baeb61d5c305615571ccd09d0df4,172,74.5445,3.3725,294
0x2a4d27abf7ebbce29131c9e8fefd3ab335aa4cce,107,74.4059,3.8214,295
0x20b38b163765c3a9afef81781f06cae22fef3290,81,74.1715,0.8182,296
0x590f4ca9b70860d1b89be8a7e69f22e59f6dcf6f,375,74.0872,6.8182,297
0x614a61a3b7f2fd8750acaad63b2a0cfe8b8524f1,129,74.0338,1.9545,298
0x6a2e2892c5d9eb010fc17b3653e3f2d9dffa67f6,81,73.9036,2.1316,299
0xc744292112d53b4857f7f0c4c210a4fc45977a29,210,73.711,10.5,300
0x83addb51685ded6de836515a3e4d844cbd676d00,250,73.6234,11.9048,301
0x66ff8f288c413e61c8ee807088ce301c03076e6e,207,73.5014,6.4688,302
0xa5b5feed7aba633454e43d71cbd76e1d504197f5,1082,73.3787,1.8916,303
0xb1d20112fea3bef0694b6b1cc93a6858a87fdf4e,152,73.3558,6.3333,304
0x24254994082b071c9ef8648a9d3ffb1e33755e73,237,73.1721,6.5833,305
0xcfc04f7722ec141983c668d453e59615e0962c36,73,73.0,0.7087,306
0x4d6624c652f3aff0f638ca02ff878311798ebbd5,334,72.9083,4.3947,307
0xffc88fc868a01003fe5d3fcc389051a365d4f932,174,72.7621,3.3462,308
0xa39d385628bd00438f8a9ba4050a25a0210f84eb,955,72.7149,3.9792,309
0x7233581a7380acd4510dc5ffbdf9bbba348da1cd,790,72.6703,2.9151,310
0x1f9dde7b25c87c97583d5771de13d60375aa3907,361,72.5733,2.7769,311
0x0cfb73e9d86129ec7a5c202c0c0e6f1026b85ddc,344,72.4475,3.3725,312
