scope,outcome,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
dev,counterparty_breadth_gain_B4_vs_B0,hypothesis_entropy_normalized,1000,0.03615921657116452,0.253288506532836,0.013975702920521695,0.6589094488085048
dev,counterparty_breadth_gain_B4_vs_B0,evidence_claim_count,1000,0.009967050351495862,0.752913954641981,-0.021145652662541977,0.5041830046201056
dev,counterparty_breadth_gain_B4_vs_B0,event_count_7d,1000,0.02608094884809346,0.41001875510031427,0.05044618188616755,0.11087596554238738
dev,counterparty_breadth_gain_B4_vs_B0,history_event_count_30d,1000,-0.013339139001999652,0.6735274313600093,-0.010997714527986526,0.7283255365841848
dev,new_counterparties_gain_B4_vs_B0,self_sensitivity,1000,-0.007259210449596155,0.8186572811510878,0.028442951752186835,0.3689180135062214
dev,new_counterparties_gain_B4_vs_B0,market_sensitivity,1000,-0.007486664682861277,0.8130785888149891,0.039563630365041,0.21128622026441155
dev,new_counterparties_gain_B4_vs_B0,intervention_sensitivity,1000,-0.009747818897726067,0.7581775442022435,0.03323567134044941,0.2937274135349524
dev,new_counterparties_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,-0.025277791720923735,0.42459096326285395,-0.014502942716860201,0.6468994218469634
dev,new_counterparties_gain_B4_vs_B0,llm_top_probability,1000,0.0013322102962546416,0.9664384977184072,0.0057004407026156724,0.8571213493366181
dev,new_counterparties_gain_B4_vs_B0,llm_probability_margin_top_second,1000,0.005782358932083586,0.8550906411245442,0.02512442122409688,0.4274076394135775
dev,new_counterparties_gain_B4_vs_B0,llm_abstain,1000,-0.00354687307695162,0.9108059278951782,-0.0226322768583171,0.4746758625008833
dev,new_counterparties_gain_B4_vs_B0,llm_mean_target_confidence,1000,-0.03478426165309929,0.2717978442814963,0.015601410107524225,0.6221731021053564
dev,new_counterparties_gain_B4_vs_B0,llm_mean_target_entropy_nats,1000,0.010191459515682682,0.7475379064865755,-0.025697550152867715,0.4169376417941536
dev,new_counterparties_gain_B4_vs_B0,hypothesis_entropy_nats,1000,0.008059786515973,0.7990643562029349,-0.000574825284364241,0.9855153307396367
dev,new_counterparties_gain_B4_vs_B0,hypothesis_entropy_normalized,1000,-0.006334907911735492,0.841418928359095,-0.023069927087759116,0.4661731459298752
dev,new_counterparties_gain_B4_vs_B0,evidence_claim_count,1000,0.0005446772918916631,0.9862749345908743,-0.0032728212837764997,0.9176720757626726
dev,new_counterparties_gain_B4_vs_B0,event_count_7d,1000,0.023346847549142086,0.4608370263393119,0.008241501496097542,0.7946342085661872
dev,new_counterparties_gain_B4_vs_B0,history_event_count_30d,1000,0.024259182173937976,0.4435002039662049,-0.004628281866805592,0.8837817785308439
test,activity_gain_B4_vs_B0,self_sensitivity,1000,0.059949171863429296,0.05808010414032358,0.008492909549486794,0.788515885009661
test,activity_gain_B4_vs_B0,market_sensitivity,1000,0.009501522305375794,0.7641043159947355,-0.004023934709575404,0.8988696795144601
test,activity_gain_B4_vs_B0,intervention_sensitivity,1000,0.05163480459702727,0.10270427899992192,0.004247896122740145,0.8932737890972474
test,activity_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,0.1027858344582124,0.001134192913016188,0.055257790674715535,0.08071476715461443
test,activity_gain_B4_vs_B0,llm_top_probability,1000,0.00028626774870252683,0.9927862173059444,-0.02680298193393707,0.397175334260687
test,activity_gain_B4_vs_B0,llm_probability_margin_top_second,1000,-0.000936367624779563,0.976407187072303,-0.028955464059403014,0.360349808415867
test,activity_gain_B4_vs_B0,llm_abstain,1000,-0.03929132921140431,0.21444831106630508,0.038381619377703596,0.225259007962469
test,activity_gain_B4_vs_B0,llm_mean_target_confidence,1000,0.025535864876767463,0.4198759328607134,-0.0028837396028082996,0.92743062362364
test,activity_gain_B4_vs_B0,llm_mean_target_entropy_nats,1000,-0.04267164674253798,0.1775547126044343,-0.013252466662498533,0.6755274782644457
