table,condition,level,split,unit,target,n,mean_delta_B4_minus_B0,median_delta_B4_minus_B0,degradation_rate_delta_gt_0,severe_degradation_rate_delta_gt_0_1,mean_gain_B4_vs_B0
macro_quantile,intervention_sensitivity,Q1,oos_all,macro,macro,500,0.032406487403293695,-0.011078738310250948,0.456,0.308,-0.032406487403293695
macro_quantile,intervention_sensitivity,Q2,oos_all,macro,macro,500,0.040694621515548646,-0.00919921617250147,0.478,0.326,-0.040694621515548646
macro_quantile,intervention_sensitivity,Q3,oos_all,macro,macro,500,0.024911608302154793,-0.00961767715425027,0.46,0.31,-0.024911608302154793
macro_quantile,intervention_sensitivity,Q4,oos_all,macro,macro,500,-0.0040310272629905395,-0.019545757823350003,0.46,0.322,0.0040310272629905395
macro_quantile,evidence_aligned_intervention_margin,Q1,oos_all,macro,macro,500,0.04302991377749374,-0.007097799262501994,0.476,0.31,-0.04302991377749374
macro_quantile,evidence_aligned_intervention_margin,Q2,oos_all,macro,macro,500,0.022257094735369957,-0.0028187725635589137,0.49,0.322,-0.022257094735369957
macro_quantile,evidence_aligned_intervention_margin,Q3,oos_all,macro,macro,500,0.023857307618980646,-0.021821369869017067,0.416,0.282,-0.023857307618980646
macro_quantile,evidence_aligned_intervention_margin,Q4,oos_all,macro,macro,500,0.004837373826162242,-0.015197846772723622,0.472,0.352,-0.004837373826162242
macro_quantile,evidence_claim_count,Q1,oos_all,macro,macro,500,-0.018150582443980084,-0.020546338706307586,0.434,0.312,0.018150582443980084
macro_quantile,evidence_claim_count,Q2,oos_all,macro,macro,500,0.040755298608121424,-0.011684553539575714,0.482,0.342,-0.040755298608121424
macro_quantile,evidence_claim_count,Q3,oos_all,macro,macro,500,0.057582211930195255,-0.0022911383475286012,0.492,0.328,-0.057582211930195255
macro_quantile,evidence_claim_count,Q4,oos_all,macro,macro,500,0.013794761863670013,-0.01137135815671158,0.446,0.284,-0.013794761863670013
macro_quantile,event_count_7d,Q1,oos_all,macro,macro,500,0.047602474838647886,-0.014010491540454372,0.444,0.28,-0.047602474838647886
macro_quantile,event_count_7d,Q2,oos_all,macro,macro,500,0.0471291927290406,-0.007320704135558187,0.476,0.326,-0.0471291927290406
macro_quantile,event_count_7d,Q3,oos_all,macro,macro,500,-0.018343220235964103,-0.024273437014835766,0.42,0.302,0.018343220235964103
macro_quantile,event_count_7d,Q4,oos_all,macro,macro,500,0.017593242626282226,0.005809013466826662,0.514,0.358,-0.017593242626282226
macro_quantile,history_event_count_30d,Q1,oos_all,macro,macro,500,0.05825798081293398,-0.018760054131181942,0.416,0.222,-0.05825798081293398
macro_quantile,history_event_count_30d,Q2,oos_all,macro,macro,500,-0.004209289138189889,-0.016492067573493877,0.434,0.29,0.004209289138189889
macro_quantile,history_event_count_30d,Q3,oos_all,macro,macro,500,0.017800617487061222,-0.0010924681125041508,0.494,0.37,-0.017800617487061222
macro_quantile,history_event_count_30d,Q4,oos_all,macro,macro,500,0.02213238079620127,0.004823682294618048,0.51,0.384,-0.02213238079620127
