split,scope,model,target,n,log_loss,brier,balanced_accuracy,macro_f1
dev,bin_10-19,B1_M1_DETERMINISTIC,new_counterparties,250,0.8761036173623302,0.5126917006310777,0.6044872761290672,0.5782269544186999
dev,bin_10-19,B2_M1_SINGLE_LLM,activity,250,0.8361168798225994,0.5120862787290165,0.6156264787843736,0.6026711560044894
dev,bin_10-19,B2_M1_SINGLE_LLM,active_days,250,0.9996790302436355,0.5850932475176391,0.5498320706084511,0.5253068360211217
dev,bin_10-19,B2_M1_SINGLE_LLM,counterparty_breadth,250,0.8943196767731662,0.5369808494594878,0.5926984126984126,0.5671484048222153
dev,bin_10-19,B2_M1_SINGLE_LLM,new_counterparties,250,0.8826889285304979,0.5119177424566718,0.6045626568014627,0.5747824902050224
dev,bin_10-19,B3_M1_MULTI_LLM,activity,250,0.8696641072033188,0.5435727866232264,0.6129379392537287,0.601207238435389
dev,bin_10-19,B3_M1_MULTI_LLM,active_days,250,1.0500758829035184,0.6132724925853326,0.5365955895753599,0.5103879389593676
dev,bin_10-19,B3_M1_MULTI_LLM,counterparty_breadth,250,0.9385919485342338,0.5426875698992301,0.6203174603174603,0.5915499533146592
dev,bin_10-19,B3_M1_MULTI_LLM,new_counterparties,250,0.9098133865101843,0.5331489766631291,0.5968139102467461,0.5605316489744053
dev,bin_10-19,B4_M1_VERIFIED_LLM,activity,250,0.859636554687343,0.5103247369419702,0.6309690309690309,0.6054440839974902
dev,bin_10-19,B4_M1_VERIFIED_LLM,active_days,250,1.0275715066943831,0.592679266662579,0.5608581322085969,0.5319981930696634
dev,bin_10-19,B4_M1_VERIFIED_LLM,counterparty_breadth,250,0.9714306201688523,0.5474143925885091,0.6117460317460318,0.5792224270901485
dev,bin_10-19,B4_M1_VERIFIED_LLM,new_counterparties,250,0.8723837361882252,0.5016034413525874,0.6235875788114594,0.569987205434201
dev,bin_20+,B0_M1,activity,250,0.8514476133482185,0.5434507054444755,0.5093044868220512,0.5257842182637417
dev,bin_20+,B0_M1,active_days,250,1.0613279902093347,0.6256708641688281,0.5279403165055808,0.5296659087415382
dev,bin_20+,B0_M1,counterparty_breadth,250,0.8923638974255589,0.5364692351542487,0.5364859008883524,0.5479717656130673
dev,bin_20+,B0_M1,new_counterparties,250,0.9397369797876827,0.5433425388386628,0.5412291580542924,0.5494621919247018
dev,bin_20+,B1_M1_DETERMINISTIC,activity,250,0.8177378734212531,0.5200324658579328,0.53948552098435,0.5594674577725425
dev,bin_20+,B1_M1_DETERMINISTIC,active_days,250,1.0149098305871473,0.5922309588160987,0.5481241759558911,0.5452379626098545
dev,bin_20+,B1_M1_DETERMINISTIC,counterparty_breadth,250,0.8913138341271379,0.5319753391621874,0.5496239205125825,0.5619927245736454
dev,bin_20+,B1_M1_DETERMINISTIC,new_counterparties,250,0.9264247149378811,0.527165998953287,0.5512718754306186,0.5586144849302744
dev,bin_20+,B2_M1_SINGLE_LLM,activity,250,0.8467029526348597,0.5328078837959153,0.5564811717036542,0.5827547910532568
dev,bin_20+,B2_M1_SINGLE_LLM,active_days,250,1.0699760929001596,0.636551163760593,0.5476374678100676,0.5483939238777948
dev,bin_20+,B2_M1_SINGLE_LLM,counterparty_breadth,250,0.8885923953843319,0.523988476676674,0.5614959606277278,0.5704137392661983
dev,bin_20+,B2_M1_SINGLE_LLM,new_counterparties,250,0.9173822428847288,0.537384856033793,0.541107895824721,0.5477478388144729
dev,bin_20+,B3_M1_MULTI_LLM,activity,250,0.8414985396255386,0.5092579566297986,0.5750641240102597,0.5986559615239301
dev,bin_20+,B3_M1_MULTI_LLM,active_days,250,1.1457925104764048,0.6585800728764309,0.5176141130833688,0.5110597936684893
