target_address,bridges_events,icf_score_p1,icf_raw_signal
0xc66135b1671ad1f2cae217ff19234a77f7a0b00c,95,84.46666666666665,1.696428571428571
0x4df85d5d7574ec0f6c25e70936169d73c0087ca3,172,84.28197982500943,2.7301587301587302
0x473ac44a488ffc3f8237f45e469f60b416690f3d,233,83.80503057210232,7.28125
0x96234e93d9fb27fda6414d89adeb963f126f4704,504,83.53551771934596,3.0179640718562855
0x205d576b2556b21238bf7d1b476b92e4b2fc556f,314,83.34974001350905,31.400000000000013
0xc9d42afc4f867c4c3f28e78ae50e65001998f5e9,805,82.96653666948977,3.0842911877394625
0x63278f5a5f5303ec9c146cca3f51ae36db357e9f,170,82.95190114134127,3.333333333333332
0xa7c420ba706fccfdf6bc48994ac1706220aa65bf,101,82.72131200134834,5.9411764705882355
0xa5430730f12f1128bf10dfba38c8e00bc4d90eea,288,82.67225748336772,2.2677165354330686
0x1360fc7a6263cbc0c2b7f1527efb6430b1265e67,335,82.55154619215769,2.6171875
0x0b3abab368616a5db055f2030a0a2a3b00144a45,191,82.38113802347503,2.010526315789474
0x2052051a0474fb0b98283b3f38c13b0b0b6a3677,211,81.77065708279738,2.425287356321838
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,1198,81.76528257081951,2.194139194139189
0x24d9be8c2589c9873bc636e24972cdb891cdbc25,138,81.6832389652872,1.0147058823529411
0x38d37614d6a2386264961737747f920e42a821c0,197,81.66758026852314,6.566666666666666
0x469a7f8759ecbbb60853ca2098c9316442a34c5d,130,81.50305531742792,3.023255813953488
0x16b455845bc5fe610a679ccd8833b12fe5c7665a,125,81.4969355406808,3.3783783783783785
0xcdb06be4a7f9fc8a9f289d42956776f2696eba31,184,81.46563653755051,2.486486486486486
0xc376de0f2e83a08e133b1ed6a92bbebb4947574f,158,81.32551820597797,7.900000000000001
0x65b27ba7362ce3f241dafdfc03ef24d080e41413,427,81.2551475838503,1.5814814814814826
0x3e809c4767463ff5e52f5b9443e881cc796be301,114,81.2218103248764,16.28571428571428
0xd44f9db7c700aecc2b735ed2b2eb9463f8a494e4,190,81.0611667995641,9.999999999999996
0xb2c2859edc01cfe7bf89358e4ac748b01e0798a1,130,80.98029548212442,14.44444444444445
0x7ad79b83575becb692bddf23909b74f1f52503de,130,80.77894468477176,1.2264150943396226
0x0f8176c597aa2136b54bca3f10e098c668fa2ccb,1058,80.68738003416819,2.495283018867925
0x62ce1d739b9bc6ab5f716a772ea585425d3843b1,1096,80.2143845185543,3.5584415584415505
0x9021c44e36f9994dd860d223c4306300b4655da5,85,80.1685393258427,4.25
0xe487ed5ec80cca6e8a44f6d6f3f712088df8ad4f,640,80.16396546903972,2.318840579710142
0x263944285219b5b3fee31a91da95acab87e5d27d,387,80.14246316690378,5.691176470588233
0xcf1bfd19b1ab67a251ed749c7084e68778b9405b,127,79.95140131992511,4.096774193548384
0x5f03622ec2aa940b0eba0f52149051d4a62e6c89,627,79.94125296581934,29.85714285714283
0x1dc301854bfecb4ba03eb417579585c2b8ea12c1,353,79.90303325207572,2.0287356321839067
